CODICE,DATA10,DATA20,DATA30,DATA40,DATA50,DATA60
1.0000000000000000e+00,,,,,,
2.9600000000000000e+02,"2011-02-18 00:00:00",,,,,
3.9500000000000000e+02,"2012-03-25 00:00:00",,,,,
2.3000000000000000e+01,"2012-03-25 00:00:00",,,,,
6.0000000000000000e+01,"2012-03-25 00:00:00",,,,,
1.8000000000000000e+01,"2012-03-25 00:00:00",,,,,
1.7000000000000000e+01,"2012-03-25 00:00:00",,,,,
1.5700000000000000e+02,"2012-03-25 00:00:00",,,,,
1.3900000000000000e+02,"2012-03-25 00:00:00",,,,,
2.2600000000000000e+02,"2012-03-25 00:00:00",,,,,
4.6000000000000000e+02,"2012-03-25 00:00:00",,,,,
2.1000000000000000e+01,"2012-03-25 00:00:00",,,,,
4.5400000000000000e+02,"2012-03-25 00:00:00",,,,,
3.2900000000000000e+02,"2012-03-25 00:00:00",,,,,
2.8800000000000000e+02,"2012-03-25 00:00:00",,,,,
4.3600000000000000e+02,"2012-03-25 00:00:00",,,,,
7.0000000000000000e+00,"2012-03-25 00:00:00",,,,,
3.8600000000000000e+02,"2012-03-25 00:00:00",,,,,
3.4600000000000000e+02,"2012-03-25 00:00:00",,,,,